runtime,solution cost,initial solution cost,min f value,root g value,iterations,group size,runtime of initial solution,area under curve,preprocessing runtime,solver name,instance name
2,29,29,29,29,1804,5,8.494e-05,0,6.5021e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,38,38,38,38,1789,5,0.000162862,0,6.0853e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,51,52,50,50,52088,4.34761,0.000122141,1.99997,6.9436e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,36,36,36,36,1801,5,0.000207278,0,6.543e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2,36,37,36,36,1802,5,0.000100387,8.7232e-05,7.0813e-05,LNS(EECBS;PP),lns_agents_fileNamespaceagents7height8memory_limit16obs_density0.1timeout2trials10width8.agents
2.00037,1421,1421,1421,1421,688,5,0.00220676,0,0.0242494,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00038,1222,1222,1222,1222,719,5,0.00186822,0,0.0237644,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00037,1316,1316,1316,1316,678,5,0.0020991,0,0.0242549,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00029,1208,1208,1208,1208,702,5,0.00206442,0,0.0237324,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00007,1401,1401,1401,1401,697,5,0.00316538,0,0.0242588,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00025,1515,1515,1515,1515,710,5,0.00410432,0,0.0247048,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00013,1396,1396,1396,1396,708,5,0.00211182,0,0.0240458,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.0002,1092,1092,1092,1092,736,5,0.0017512,0,0.0240978,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00037,1023,1023,1023,1023,716,5,0.00407136,0,0.0243445,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00007,1264,1264,1264,1262,703,5,0.00250295,3.99499,0.0239923,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00009,1421,1421,1421,1421,696,5,0.00221486,0,0.0239276,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00022,1222,1222,1222,1222,719,5,0.00189334,0,0.0247891,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00001,1316,1316,1316,1316,696,5,0.00202372,0,0.0240011,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.0003,1208,1208,1208,1208,705,5,0.00218206,0,0.0238499,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00004,1401,1401,1401,1401,707,5,0.00227279,0,0.0243933,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00036,1515,1515,1515,1515,712,5,0.00412617,0,0.0239838,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00018,1396,1396,1396,1396,708,5,0.00217412,0,0.0244621,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00036,1092,1092,1092,1092,737,5,0.00177473,0,0.023806,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00027,1023,1023,1023,1023,714,5,0.00426398,0,0.0243198,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00036,1264,1264,1264,1262,704,5,0.00255375,3.99489,0.0247653,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00009,1421,1421,1421,1421,692,5,0.00222276,0,0.0241893,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00024,1222,1222,1222,1222,717,5,0.00180885,0,0.0236601,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00016,1316,1316,1316,1316,688,5,0.00191352,0,0.0232653,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00029,1208,1208,1208,1208,701,5,0.00203134,0,0.0241594,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00024,1401,1401,1401,1401,706,5,0.00213093,0,0.0237432,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00013,1515,1515,1515,1515,709,5,0.00411563,0,0.0244863,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00022,1396,1396,1396,1396,709,5,0.00212421,0,0.0236078,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00001,1092,1092,1092,1092,733,5,0.00179073,0,0.0242497,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00004,1023,1023,1023,1023,699,5,0.0048572,0,0.0282114,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00046,1264,1264,1264,1262,666,5,0.00315267,3.99369,0.030468,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials10width100.agents
2.00017,1421,1421,1421,1421,706,5,0.0024228,0,0.0216966,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials3width100.agents
2.00021,1222,1222,1222,1222,740,5,0.00164762,0,0.0219149,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials3width100.agents
2.00008,1316,1316,1316,1316,704,5,0.00172786,0,0.0220269,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials3width100.agents
2.00028,1421,1421,1421,1421,708,5,0.00194174,0,0.0221429,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials3width100.agents
2.00022,1222,1222,1222,1222,740,5,0.00170008,0,0.0221143,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials3width100.agents
